,Commentary,Runs,Delivery_Length,Delivery_Line,Shot_Type,Run/NoRun,Bowler_Type,Bowler_Name,Avg_Ball_Speed,MatchID,Dismissal_Type,Beaten/NotBeaten,Home_Away,Good_Bad_Shot,Opponent,Stadium,Shot_Zone,Delivery_Number,Toss,TossDecision,D/N
0,"Amir to Warner, <b>out</b> Bowled!! Amir has deserved this wicket, he had Warner all in knots in the previous over and has his reward now. This was full and held its line around middle, Warner was eyeing the mid-wicket boundary as he aimed an expansive flick, the ball nipped away just a fraction, zipped past the closing face of the bat and crashed into the top of middle. As good as unplayable, Pakistan and Amir celebrate, the dangerous Warner departs early. <b>Warner b Amir 7(18) [4s-1]</b>",,Full,wicket_to_wicket,Flick,norun,left arm fast medium,Amir,136.4,16484, Bowled!!,not_beaten,home,bad,Pakistan,The Gabba,Midwicket,19,1,Batting,DN
2,"Amir to Warner, 1 run, short of a good length and just outside off, Warner stays back and pushes it wide of cover for a single",1,Short,outside_stumps,Unknown,run,left arm fast medium,Amir,136.4,16484,,not_beaten,home,bad,Pakistan,The Gabba,Cover,17,1,Batting,DN
3,"Hafeez to Warner, 1 run, flatter and on Warner's pads, clipped away behind square on the on-side for a single",1,GoodLength,wicket_to_wicket,Unknown,run,right arm off break,Hafeez,88.5,16484,,Unknown,home,bad,Pakistan,The Gabba,Unknown,16,1,Batting,DN
4,"Hafeez to Warner, <b>FOUR</b>, Warner is off and away! He was kept quite until now, shimmies down the track, gets close to the ball, plays against the spin and clips it over mid-wicket's head. Hasan gives chase but the ball wins the race",4,Unknown,Unknown,Pull_hook,run,right arm off break,Hafeez,88.5,16484,,not_beaten,home,good,Pakistan,The Gabba,Midwicket,15,1,Batting,DN
5,"Amir to Warner, no run, this is even better! Amir has started really well here, this was fuller in length, lured Warner into the drive before the late swing took it past the flashing blade, no luck for Amir",0,Full,Unknown,Drive,norun,left arm fast medium,Amir,136.4,16484,,not_beaten,home,bad,Pakistan,The Gabba,Unknown,14,1,Batting,DN
6,"Amir to Warner, no run, lovely ball from Amir, tad fuller in length and shaping away from outside off, drew Warner into playing at that, the late seam takes the ball past the outside edge",0,Full,outside_stumps,Edge,norun,left arm fast medium,Amir,136.4,16484,,beaten,home,bad,Pakistan,The Gabba,Unknown,13,1,Batting,DN
7,"Amir to Warner, 1 run, too straight from Amir, ends up drifting onto Warner's pads, clipped away behind square on the on-side for a single",1,GoodLength,wicket_to_wicket,Unknown,run,left arm fast medium,Amir,136.4,16484,,Unknown,home,bad,Pakistan,The Gabba,Unknown,12,1,Batting,DN
8,"Amir to Warner, no run, short of a length and angling into Warner's hips, he's tucked for room and nudges it towards square leg",0,Short,wicket_to_wicket,Unknown,norun,left arm fast medium,Amir,136.4,16484,,not_beaten,home,bad,Pakistan,The Gabba,SquareLeg,11,1,Batting,DN
9,"Hafeez to Warner, no run, flighted on off, Warner gets forward and drives it back at the bowler",0,GoodLength,wicket_to_wicket,Drive,norun,right arm off break,Hafeez,88.5,16484,,not_beaten,home,bad,Pakistan,The Gabba,Unknown,10,1,Batting,DN
10,"Hafeez to Warner, no run, Warner comes down the track, takes the ball on the full and mistimes the drive towards cover-point",0,Full,outside_stumps,Drive,norun,right arm off break,Hafeez,88.5,16484,,not_beaten,home,bad,Pakistan,The Gabba,Cover,9,1,Batting,DN
11,"Hafeez to Warner, no run, tossed up on the stumps, Warner lunges forward and defends it towards the on-side",0,Full,wicket_to_wicket,Defensive_shot,norun,right arm off break,Hafeez,88.5,16484,,not_beaten,home,bad,Pakistan,The Gabba,Unknown,8,1,Batting,DN
12,"Hafeez to Warner, no run, flighted outside off, Warner makes room and pushes it towards the off-side",0,Unknown,outside_stumps,Defensive_shot,norun,right arm off break,Hafeez,88.5,16484,,not_beaten,home,bad,Pakistan,The Gabba,Unknown,7,1,Batting,DN
13,"Amir to Warner, no run, short of a good length and just outside off, Warner pushes it to the right of cover-point. Tidy start from Amir, just a wide in that over",0,Short,outside_stumps,Defensive_shot,norun,left arm fast medium,Amir,136.4,16484,,not_beaten,home,bad,Pakistan,The Gabba,Cover,6,1,Batting,DN
14,"Amir to Warner, no run, back of a length and just outside off, Warner hops across and defends it towards the off-side",0,Short,outside_stumps,Defensive_shot,norun,left arm fast medium,Amir,136.4,16484,,not_beaten,home,bad,Pakistan,The Gabba,Unknown,5,1,Batting,DN
15,"Amir to Warner, <b>wide</b>, wrong line from Amir, dragged his length short and slides this one down the leg-side, called as a wide",wide,Short,wicket_to_wicket,Unknown,norun,left arm fast medium,Amir,136.4,16484,,Unknown,home,bad,Pakistan,The Gabba,Unknown,4,1,Batting,DN
16,"Amir to Warner, no run, Amir shortens his length on off, Warner gets across and defends it with an open face towards backward point",0,Short,wicket_to_wicket,Cut,norun,left arm fast medium,Amir,136.4,16484,,not_beaten,home,bad,Pakistan,The Gabba,Point,3,1,Batting,DN
17,"Amir to Warner, no run, good line and length from Amir, tad fuller and a hint of shape away from off, Warner gets half-forward and defends it towards the off-side",0,Full,outside_stumps,Defensive_shot,norun,left arm fast medium,Amir,136.4,16484,,not_beaten,home,bad,Pakistan,The Gabba,Unknown,2,1,Batting,DN
18,"Amir to Warner, no run, loose from Warner, short of a good length and shaping away from outside off, Warner has a loose waft at that and is beaten on the outside edge",0,Short,outside_stumps,Edge,norun,left arm fast medium,Amir,136.4,16484,,beaten,home,bad,Pakistan,The Gabba,Unknown,1,1,Batting,DN
19,"Amir to Warner, no run, short of a good length and just outside off, hint of some swing for Amir, Warner stays behind the line and defends it towards the off-side",0,Short,outside_stumps,Defensive_shot,norun,left arm fast medium,Amir,136.4,16484,,not_beaten,home,bad,Pakistan,The Gabba,Unknown,0,1,Batting,DN
0,"Junaid Khan to Warner, <b>out</b> Caught by Rizwan!! <b>Edged and caught</b>! Well deserved wicket for Junaid, he had Warner in knots and finally sees the back of him. Another excellent delivery, pitched on a length outside off and nipped away slightly, Warner is drawn into playing at that, opens the face of the bat and looks to guide it towards the off-side, the swing takes the outside edge and it's an easy grab for Rizwan - moving across to his left. Junaid is chuffed to bits and Pakistan have their first wicket. <b>Warner c Rizwan b Junaid Khan 16(22) [4s-1]</b>",,GoodLength,outside_stumps,Edge,norun,left arm fast medium,Junaid Khan,132.7,16485, Caught!!,beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,25,1,Batting,DN
2,"Junaid Khan to Warner, no run, back of a length and just outside off, Warner plays with an open face and steers it towards backward point",0,Short,outside_stumps,Cut,norun,left arm fast medium,Junaid Khan,132.7,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Point,23,1,Batting,DN
3,"Junaid Khan to Warner, no run, short of a good length and just outside off, pushed back at the bowler. Junaid collects the ball and fakes a throw at the batsman, long round of boos from the MCG ground",0,Short,outside_stumps,Defensive_shot,norun,left arm fast medium,Junaid Khan,132.7,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,22,1,Batting,DN
4,"Junaid Khan to Warner, <b>wide</b>, Junaid drifts this one down the leg-side, called as a wide",wide,Unknown,wicket_to_wicket,Unknown,norun,left arm fast medium,Junaid Khan,132.7,16485,,Unknown,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,21,1,Batting,DN
5,"Junaid Khan to Warner, no run, another close shave for Warner, but replays suggest there was daylight between bat and ball. Lovely ball from Junaid, on a good length and shaping away from outside off, Warner has a frail at that and misses by a long way. However, there's a spike on the snicko, not sure what it heard",0,GoodLength,outside_stumps,No_shot,norun,left arm fast medium,Junaid Khan,132.7,16485,,beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,20,1,Batting,DN
6,"Amir to Warner, 2 runs, back of a length and just outside off, Warner plays with an open face and guides it behind square on the off-side, back for an easy two",2,Short,outside_stumps,Unknown,run,left arm fast medium,Amir,136.4,16485,,Unknown,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,19,1,Batting,DN
7,"Amir to Warner, 1 run, short of a length and on Warner's pads, tucked in front of square leg for a single",1,Short,wicket_to_wicket,Unknown,run,left arm fast medium,Amir,136.4,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,SquareLeg,18,1,Batting,DN
8,"Amir to Warner, <b>wide</b>, the bouncer from Amir, but it went sailing over Warner's head, called as a wide",wide,Short,Unknown,Unknown,norun,left arm fast medium,Amir,136.4,16485,,Unknown,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,17,1,Batting,DN
9,"Amir to Warner, 2 runs, length ball on the stumps, Warner gets inside the line and tucks it behind square on the on-side, back for the second run",2,GoodLength,wicket_to_wicket,Unknown,run,left arm fast medium,Amir,136.4,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,16,1,Batting,DN
10,"Amir to Warner, no run, short of a length and angling into Warner's pads, he was looking to flick and is struck high on the pads",0,Short,wicket_to_wicket,Flick,norun,left arm fast medium,Amir,136.4,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,15,1,Batting,DN
11,"Amir to Warner, 2 runs, on a good length and on Warner's pads, he was looking to flick and gets an inside edge onto the pads. Rizwan gives chase and knocks the ball off his shoes as he slid, allows Warner to come back for the second run",2,GoodLength,wicket_to_wicket,Flick,run,left arm fast medium,Amir,136.4,16485,,beaten,home,good,Pakistan,Melbourne Cricket Ground,Unknown,14,1,Batting,DN
12,"Junaid Khan to Warner, 1 run, short of a good length and just outside off, Warner plays with an open face and gets it behind square on the off-side",1,Short,outside_stumps,Unknown,run,left arm fast medium,Junaid Khan,132.7,16485,,Unknown,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,13,1,Batting,DN
13,"Junaid Khan to Warner, no run, another <b>huge appeal for LBW</b>, but Gaffaney says NO. This is an excellent over from Junaid so far, on a good length and a hint of late shape away from off, opened up Warner completely as he shuffled across, he got outside the line though and is struck on the back-pad, the angle was taking the ball away from the stumps",0,GoodLength,wicket_to_wicket,Unknown,norun,left arm fast medium,Junaid Khan,132.7,16485,,Unknown,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,12,1,Batting,DN
14,"Junaid Khan to Warner, no run, the height was an issue. The ball struck Warner high on the thigh-pad, would have been sailing over the top of the stumps. Lovely ball from Junaid, nipped back in a fraction after pitching around off, Warner was squared up as he looked to defend and missed",0,Full,wicket_to_wicket,No_shot,norun,left arm fast medium,Junaid Khan,132.7,16485,,beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,11,1,Batting,DN
15,"Amir to Warner, 1 run, short of a good length and just outside off, Warner drops it in front of cover and scampers across for a quick single",1,Short,outside_stumps,Unknown,run,left arm fast medium,Amir,136.4,16485,,Unknown,home,bad,Pakistan,Melbourne Cricket Ground,Cover,10,1,Batting,DN
16,"Junaid Khan to Warner, no run, on a good length and just outside off, Warner gets forward and pushes it towards cover",0,GoodLength,outside_stumps,Defensive_shot,norun,left arm fast medium,Junaid Khan,132.7,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Cover,9,1,Batting,DN
17,"Junaid Khan to Warner, <b>wide</b>, Junaid slips this one down the leg-side, Warner was looking to help it on its way and missed, called as a wide",wide,Unknown,wicket_to_wicket,No_shot,norun,left arm fast medium,Junaid Khan,132.7,16485,,beaten,home,bad,Pakistan,Melbourne Cricket Ground,ThirdMan,8,1,Batting,DN
18,"Junaid Khan to Warner, no run, back of a length and just outside off, Warner hops across and defends it to the right of cover-point",0,Short,outside_stumps,Defensive_shot,norun,left arm fast medium,Junaid Khan,132.7,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Cover,7,1,Batting,DN
19,"Junaid Khan to Warner, no run, just short of a good length and on the stumps, defended back towards the bowler",0,Short,wicket_to_wicket,Defensive_shot,norun,left arm fast medium,Junaid Khan,132.7,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,6,1,Batting,DN
20,"Junaid Khan to Warner, 2 runs, too straight from Junaid, ends up drifting onto Warner's pads, nudged away behind square on the on-side for a couple of runs",2,GoodLength,wicket_to_wicket,Unknown,run,left arm fast medium,Junaid Khan,132.7,16485,,Unknown,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,5,1,Batting,DN
21,"Junaid Khan to Warner, <b>FOUR</b>, <b>streaky and four</b>, this was a good short ball from Junaid, angled him and cramped Warner on the tuck, he was in no position to play that, the ball clipped the gloves and rolled away past the keeper for a boundary",4,Short,Unknown,Unknown,run,left arm fast medium,Junaid Khan,132.7,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,4,1,Batting,DN
22,"Amir to Warner, no run, on a good length and in that channel outside off, Warner gets half-forward and defends",0,Full,outside_stumps,Defensive_shot,norun,left arm fast medium,Amir,136.4,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,3,1,Batting,DN
23,"Amir to Warner, no run, short of a good length and just outside off, defended back at the bowler",0,Short,outside_stumps,Defensive_shot,norun,left arm fast medium,Amir,136.4,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,2,1,Batting,DN
24,"Amir to Warner, 1 run, on a good length and just outside off, Warner drops it wide of cover and sets off for a quick single",1,GoodLength,outside_stumps,Unknown,run,left arm fast medium,Amir,136.4,16485,,Unknown,home,bad,Pakistan,Melbourne Cricket Ground,Cover,1,1,Batting,DN
25,"Amir to Warner, no run, much better from Amir, on a good length and a hint of shape away from middle, Warner is slightly squared up as he defends",0,Full,wicket_to_wicket,Defensive_shot,norun,left arm fast medium,Amir,136.4,16485,,not_beaten,home,bad,Pakistan,Melbourne Cricket Ground,Unknown,0,1,Batting,DN
