,Commentary,Runs,Delivery_Length,Delivery_Line,Shot_Type,Run/NoRun,Bowler_Type,Bowler_Name,Avg_Ball_Speed,MatchID,Dismissal,Dismissal_Type,Beaten/NotBeaten,Home_Away,Good_Bad_Shot,Opponent,Stadium,Shot_Zone,Delivery_Number,Toss,TossDecision,D/N
2,"Morne Morkel to Rohit, no run, stays in the crease and defends a short of length delivery on the off-side",0,Short,outside_stumps,Defensive_shot,norun,right arm fast,Morne Morkel,139.2,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Unknown,29,0,Batting,DN
3,"Morne Morkel to Rohit, 2 runs, <b>almost dragged on!</b> Looks to cross-bat a short-and-wide ball and gets a thick inside edge, that eludes the stumps and rolls to fine leg. Good running",2,Short,wicket_to_wicket,Edge,run,right arm fast,Morne Morkel,139.2,19160,0,,beaten,away,bad,South Africa,Kingsmead,FineLeg,28,0,Batting,DN
4,"Rabada to Rohit, 1 run, good comeback from Rabada. Squares up Rohit with this good-ish length ball that shapes away after decking. Rohit manages to get an edge on it and the ball goes wide of the backward point fielder. A single to third man",1,GoodLength,outside_stumps,Late_Cut,run,right arm fast,Rabada,138.3,19160,0,,beaten,away,good,South Africa,Kingsmead,Point,27,0,Batting,DN
5,"Rabada to Rohit, no run, Rohit must be cursing himself. He is gifted with a full toss, but can't put it away. Clipped straight to the man at mid-wicket. A couple of inches either way and the ball would have raced away for a boundary",0,Full_toss,outside_stumps,Pull_hook,norun,right arm fast,Rabada,138.3,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Midwicket,26,0,Batting,DN
6,"Rabada to Rohit, no run, pacy back of a length delivery, Rohit blocks it into the off-side",0,Short,wicket_to_wicket,Defensive_shot,norun,right arm fast,Rabada,138.3,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Unknown,25,0,Batting,DN
7,"Rabada to Rohit, <b>FOUR</b>, <b>150kph!</b> Doesn't matter to Rohit who decides to go aerial. On a length and Rohit decides to go over wide mid-on. Made excellent contact with a high back-lift and the ball reaches the fence in a jiffy",4,GoodLength,outside_stumps,Drive,run,right arm fast,Rabada,150,19160,0,,not_beaten,away,good,South Africa,Kingsmead,LongOn,24,0,Batting,DN
8,"Rabada to Rohit, no run, angling in holdings its line around off, Rohit brings his bat down hurriedly and taps it towards the cover region",0,Full,outside_stumps,Drive,norun,right arm fast,Rabada,138.3,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Cover,23,0,Batting,DN
9,"Rabada to Rohit, no run, skiddy back of a length delivery on off, Rohit gets on top of the bounce and fences it to backward point",0,Short,wicket_to_wicket,Cut,norun,right arm fast,Rabada,138.3,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Point,22,0,Batting,DN
10,"Morne Morkel to Rohit, 1 run, pitched up delivery around off, Rohit drives it down the ground and mid-off, who was wide, had to put in the dive to stop that. Saved three runs there",1,Full,outside_stumps,Drive,run,right arm fast,Morne Morkel,139.2,19160,0,,not_beaten,away,good,South Africa,Kingsmead,LongOff,21,0,Batting,DN
11,"Morne Morkel to Rohit, no run, sees the line well outside off and shoulders arms",0,Short,outside_stumps,No_shot,norun,right arm fast,Morne Morkel,139.2,19160,0,,beaten,away,bad,South Africa,Kingsmead,Unknown,20,0,Batting,DN
12,"Morne Morkel to Rohit, no run, 142kph short of length delivery just outside off, Rohit opens his bat-face and defends it to backward point",0,Short,outside_stumps,Cut,norun,right arm fast,Morne Morkel,142,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Point,19,0,Batting,DN
13,"Rabada to Rohit, <b>FOUR</b>, poor ball and Rohit won't miss out on those. Full and sprayed down the leg-side, all Rohit had to do was put bat on ball. Stays in his crease and flicks it away fine. No chance for fine leg to stop that",4,Full,wicket_to_wicket,Flick,run,right arm fast,Rabada,138.3,19160,0,,beaten,away,good,South Africa,Kingsmead,FineLeg,18,0,Batting,DN
14,"Rabada to Rohit, no run, gets this shape away from the right-hander does Rabada, pushed towards backward point",0,GoodLength,outside_stumps,Cut,norun,right arm fast,Rabada,138.3,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Point,17,0,Batting,DN
15,"Rabada to Rohit, no run, what was that from Rohit? Tries to go for the uppish drive on the up against a 140kph short of length delivery outside off. Beaten comfortably on the outside edge",0,Short,outside_stumps,Edge,norun,right arm fast,Rabada,140,19160,0,,beaten,away,bad,South Africa,Kingsmead,Unknown,16,0,Batting,DN
16,"Morne Morkel to Rohit, no run, good ball to end the over. Short of a good length delivery in that nagging zone around the fifth stump line outside off, Rohit brings his bat down in an attempt to block, whizzes past the outside edge",0,Short,wicket_to_wicket,Edge,norun,right arm fast,Morne Morkel,139.2,19160,0,,beaten,away,bad,South Africa,Kingsmead,Unknown,15,0,Batting,DN
17,"Morne Morkel to Rohit, no run, Rohit is early to close his bat-face on his tuck and the ball goes uppishly to the right of mid-wicket, who makes a sharp stop",0,Unknown,Unknown,Pull_hook,norun,right arm fast,Morne Morkel,139.2,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Midwicket,14,0,Batting,DN
18,"Morne Morkel to Rohit, no run, back of a length delivery wide of off, Rohit is happy to let it pass through to the keeper",0,Short,outside_stumps,No_shot,norun,right arm fast,Morne Morkel,139.2,19160,0,,beaten,away,bad,South Africa,Kingsmead,Unknown,13,0,Batting,DN
19,"Morne Morkel to Rohit, <b>SIX</b>, easily done! This guy plays that shot as good as anyone in the game. Short ball, Rohit picks the length early, gets into a strong position and swivel-pulls it behind square leg for a six. Right off the meat",6,Short,wicket_to_wicket,Pull_hook,run,right arm fast,Morne Morkel,139.2,19160,0,,not_beaten,away,good,South Africa,Kingsmead,SquareLeg,12,0,Batting,DN
20,"Morne Morkel to Rohit, 1 run, sees the width outside off on this back of a length delivery and flashes his bat hard at it. The fat edge flies over the cordon and then towards third man. Just a single",1,Short,outside_stumps,Late_Cut,run,right arm fast,Morne Morkel,139.2,19160,0,,beaten,away,good,South Africa,Kingsmead,ThirdMan,11,0,Batting,DN
